date,Bitcoin_views,Ethereum_views,Litecoin_views,Dogecoin_views,Binance_views,Coinbase_views,BTC_Close,BTC_Volume
2018-08-04,11585,1705,417,840,437,633,7032.850098,4268390000.0
2018-08-05,11833,1528,474,856,417,685,7068.47998,3679110000.0
2018-08-06,16669,2162,593,1038,535,1089,6951.799805,3925900000.0
2018-08-07,17544,2450,711,1074,541,1269,6753.120117,4682800000.0
2018-08-08,12867,2268,777,950,493,1273,6305.799805,5064430000.0
2018-08-09,11084,2232,713,919,422,913,6568.22998,4267040000.0
2018-08-10,13629,2646,585,1148,430,851,6184.709961,4528680000.0
2018-08-11,11869,1788,510,774,387,688,6295.72998,4047850000.0
2018-08-12,12065,1800,600,760,450,743,6322.689941,5665250000.0
2018-08-13,14328,2691,836,877,496,913,6297.569824,4083980000.0
2018-08-14,14544,3062,707,992,494,916,6199.709961,5301700000.0
2018-08-15,15421,2521,605,903,411,937,6308.52002,4895450000.0
2018-08-16,14026,3425,597,822,574,1060,6334.72998,4328420000.0
2018-08-17,13047,2918,626,776,572,1037,6580.629883,4992990000.0
2018-08-18,13778,2091,518,698,392,650,6423.759766,3984520000.0
2018-08-19,14376,2012,540,736,401,588,6506.069824,3311170000.0
2018-08-20,13293,2304,745,881,476,803,6308.529785,3665100000.0
2018-08-21,13831,2585,590,1005,448,817,6488.759766,3377180000.0
2018-08-22,14191,2331,598,861,448,794,6376.709961,4668110000.0
2018-08-23,13674,3478,592,859,495,761,6534.879883,3426180000.0
2018-08-24,14352,2055,549,812,441,715,6719.959961,4097820000.0
2018-08-25,13281,1637,430,643,346,579,6763.189941,3312600000.0
2018-08-26,12213,1595,409,632,349,505,6707.259766,3295500000.0
2018-08-27,15071,2217,627,784,436,731,6884.640137,4019000000.0
2018-08-28,13951,2202,653,1168,521,866,7096.279785,4659940000.0
2018-08-29,14267,2976,1099,2470,555,1424,7047.160156,4145880000.0
2018-08-30,15138,2887,1079,2829,555,1277,6978.22998,4463250000.0
2018-08-31,13025,2568,984,3621,621,1211,7037.580078,4495650000.0
2018-09-01,11844,1747,726,3460,382,871,7193.25,4116050000.0
2018-09-02,13971,1936,935,3301,414,1061,7272.720215,4329540000.0
2018-09-03,15414,2909,901,2984,546,1100,7260.060059,4087760000.0
2018-09-04,14233,2403,743,1965,597,906,7361.660156,4273640000.0
2018-09-05,14952,2522,860,2699,559,1127,6792.830078,5800460000.0
2018-09-06,15477,2320,754,1686,467,1030,6529.169922,5523470000.0
2018-09-07,13667,2247,736,1950,410,1131,6467.069824,4264680000.0
2018-09-08,12148,1934,745,2025,379,875,6225.97998,3835060000.0
2018-09-09,13335,2381,938,2253,364,975,6300.859863,3671890000.0
2018-09-10,15001,2692,868,2689,420,1150,6329.700195,3714100000.0
2018-09-11,11421,2658,830,2077,484,1009,6321.200195,3849910000.0
2018-09-12,11472,2901,1140,2285,483,1203,6351.799805,4064230000.0
2018-09-13,12668,2654,1069,1971,477,905,6517.310059,4210910000.0
2018-09-14,12172,2964,1799,2572,455,1279,6512.709961,4076220000.0
2018-09-15,11658,2944,1893,2599,378,1211,6543.200195,3216300000.0
2018-09-16,12821,3021,2011,3000,426,1094,6517.180176,3273730000.0
2018-09-17,18717,3432,2042,2772,631,1190,6281.200195,3910780000.0
2018-09-18,15946,2599,1325,2135,587,1278,6371.299805,4180090000.0
2018-09-19,13984,2316,1022,1674,544,1165,6398.540039,4431340000.0
2018-09-20,13592,2436,1115,1766,570,1193,6519.669922,4348110000.0
2018-09-21,13441,2754,1074,1942,620,1309,6734.950195,6531940000.0
2018-09-22,12217,2068,1182,1802,481,1145,6721.97998,4509660000.0
2018-09-23,14821,1679,728,1173,450,748,6710.629883,4197500000.0
2018-09-24,16754,2393,981,1351,602,1117,6595.410156,4177310000.0
2018-09-25,14040,2307,1111,1318,546,1251,6446.470215,4726180000.0
2018-09-26,12978,2183,856,1143,584,1066,6495.0,4437300000.0
2018-09-27,11624,2422,1152,1384,566,1159,6676.75,4606810000.0
2018-09-28,11343,1837,522,837,547,726,6644.129883,5014430000.0
2018-09-29,10493,1662,663,852,454,726,6601.959961,4363690000.0
2018-09-30,10682,1436,410,612,488,475,6625.560059,4002280000.0
2018-10-01,10848,1808,449,699,503,713,6589.620117,4000970000.0
2018-10-02,11253,1713,446,740,545,742,6556.100098,3979260000.0
2018-10-03,10250,1838,497,637,543,853,6502.589844,3887310000.0
2018-10-04,9920,1835,476,650,549,675,6576.689941,3838410000.0
2018-10-05,9347,1779,504,762,450,580,6622.47998,3671500000.0
2018-10-06,8459,1298,414,619,357,464,6588.310059,3259740000.0
2018-10-07,8477,1354,374,548,366,426,6602.950195,3306630000.0
2018-10-08,11369,1793,516,651,555,625,6652.22998,3979460000.0
2018-10-09,13476,1886,507,686,558,674,6642.640137,3580810000.0
2018-10-10,10393,1933,534,628,418,583,6585.529785,3787650000.0
2018-10-11,9752,1928,521,700,516,604,6256.240234,5181640000.0
2018-10-12,9496,1838,530,756,468,615,6274.580078,3783500000.0
2018-10-13,8159,1330,386,494,360,418,6285.990234,3064030000.0
2018-10-14,9344,1317,434,517,332,456,6290.930176,3085320000.0
2018-10-15,10758,2080,478,655,629,633,6596.540039,7370770000.0
2018-10-16,10329,2023,520,676,512,708,6596.109863,4074800000.0
2018-10-17,9670,2038,547,708,519,678,6544.430176,4088420000.0
2018-10-18,10296,1830,479,609,517,597,6476.709961,3924080000.0
2018-10-19,12807,1645,397,646,498,527,6465.410156,3578870000.0
2018-10-20,12124,1713,365,595,315,412,6489.189941,3379130000.0
2018-10-21,15287,1494,441,639,336,414,6482.350098,3253610000.0
2018-10-22,11669,1792,445,572,478,643,6487.160156,3672860000.0
2018-10-23,10690,1998,634,662,686,604,6475.740234,3716150000.0
2018-10-24,11022,1942,630,652,595,650,6495.839844,3424670000.0
2018-10-25,10190,1899,492,651,555,614,6476.290039,3230550000.0
2018-10-26,9548,1788,413,631,500,542,6474.75,3306050000.0
2018-10-27,9565,1543,415,581,390,436,6480.379883,3393250000.0
2018-10-28,8465,1842,397,542,459,444,6486.390137,3445190000.0
2018-10-29,11526,2391,497,615,546,640,6332.629883,4199910000.0
2018-10-30,12133,2269,490,566,544,902,6334.27002,3781100000.0
2018-10-31,13063,2385,488,668,506,927,6317.609863,4191240000.0
